,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
180,GTEX-13O3P-0226-SM-5KM3Z,GTEX,9.439,Normal Tissue,Adipose,GTEX: Normal Tissue
181,GTEX-RU1J-0006-SM-2TF6M,GTEX,7.006,Normal Tissue,Whole Blood,GTEX: Normal Tissue
183,GTEX-Y114-1926-SM-4TT8J,GTEX,11.24,Normal Tissue,Vagina,GTEX: Normal Tissue
186,GTEX-ZF3C-2026-SM-4WWB5,GTEX,12.59,Normal Tissue,Pancreas,GTEX: Normal Tissue
190,GTEX-P4PP-0726-SM-3NM9S,GTEX,11.24,Normal Tissue,Esophagus,GTEX: Normal Tissue
191,GTEX-11ONC-2326-SM-5HL6P,GTEX,13.2,Normal Tissue,Nerve,GTEX: Normal Tissue
192,GTEX-P4QS-1726-SM-3NB1V,GTEX,12.66,Normal Tissue,Nerve,GTEX: Normal Tissue
196,GTEX-NPJ7-2726-SM-2I3FT,GTEX,11.17,Normal Tissue,Brain,GTEX: Normal Tissue
198,GTEX-11OC5-0004-SM-5S2O6,GTEX,7.999,Cell Line,Cells,GTEX: Cell Line
202,GTEX-13OVJ-0011-R9b-SM-5L3GD,GTEX,9.709,Normal Tissue,Brain,GTEX: Normal Tissue
205,GTEX-ZA64-2226-SM-5Q5A9,GTEX,12.61,Normal Tissue,Artery,GTEX: Normal Tissue
206,GTEX-XUW1-1726-SM-4BOOZ,GTEX,12.2,Normal Tissue,Pancreas,GTEX: Normal Tissue
208,GTEX-131XE-2026-SM-5LZW1,GTEX,10.78,Normal Tissue,Adipose,GTEX: Normal Tissue
211,GTEX-XAJ8-1026-SM-47JY9,GTEX,11.41,Normal Tissue,Muscle,GTEX: Normal Tissue
212,GTEX-QCQG-1726-SM-3GIJ9,GTEX,12.64,Normal Tissue,Skin,GTEX: Normal Tissue
216,GTEX-12WSL-2726-SM-5CVNL,GTEX,11.12,Normal Tissue,Muscle,GTEX: Normal Tissue
217,GTEX-XMD2-0006-SM-4WWEG,GTEX,10.35,Normal Tissue,Whole Blood,GTEX: Normal Tissue
218,GTEX-13SLW-0226-SM-5S2NA,GTEX,10.1,Normal Tissue,Adipose,GTEX: Normal Tissue
219,GTEX-ZTSS-1126-SM-5985O,GTEX,13.01,Normal Tissue,Colon,GTEX: Normal Tissue
220,GTEX-YBZK-0005-SM-59HKG,GTEX,9.13,Normal Tissue,Whole Blood,GTEX: Normal Tissue
221,GTEX-11P81-2426-SM-5GU65,GTEX,10.68,Normal Tissue,Adipose,GTEX: Normal Tissue
222,GTEX-14C5O-1726-SM-5RQI9,GTEX,11.35,Normal Tissue,Esophagus,GTEX: Normal Tissue
225,GTEX-OIZI-1026-SM-3NB1K,GTEX,12.36,Normal Tissue,Lung,GTEX: Normal Tissue
226,GTEX-13FHP-0226-SM-5K7WD,GTEX,10.05,Normal Tissue,Adipose,GTEX: Normal Tissue
229,GTEX-Y9LG-0426-SM-4VBRT,GTEX,13.12,Normal Tissue,Thyroid,GTEX: Normal Tissue
231,GTEX-11DZ1-0426-SM-5H11A,GTEX,11.76,Normal Tissue,Lung,GTEX: Normal Tissue
233,GTEX-S32W-0004-SM-2XCE9,GTEX,8.18,Cell Line,Cells,GTEX: Cell Line
238,GTEX-ZLWG-0008-SM-4E3J4,GTEX,11.48,Cell Line,Cells,GTEX: Cell Line
240,GTEX-12ZZZ-0011-R10a-SM-5P9HC,GTEX,8.757,Normal Tissue,Brain,GTEX: Normal Tissue
249,GTEX-N7MT-1426-SM-3LK5M,GTEX,12.94,Normal Tissue,Artery,GTEX: Normal Tissue
251,GTEX-Q2AI-0006-SM-2I3FG,GTEX,6.343,Normal Tissue,Whole Blood,GTEX: Normal Tissue
254,GTEX-ZUA1-0011-R8b-SM-51MST,GTEX,8.305,Normal Tissue,Brain,GTEX: Normal Tissue
255,GTEX-YB5E-0008-SM-4VDT7,GTEX,11.79,Cell Line,Cells,GTEX: Cell Line
256,GTEX-139TU-0226-SM-5J1NM,GTEX,10.21,Normal Tissue,Adipose,GTEX: Normal Tissue
263,GTEX-13NYB-0726-SM-5MR4J,GTEX,12.6,Normal Tissue,Thyroid,GTEX: Normal Tissue
264,GTEX-ZYVF-2526-SM-5E45C,GTEX,11.55,Normal Tissue,Esophagus,GTEX: Normal Tissue
267,GTEX-13FHP-0011-R7b-SM-5LZYI,GTEX,10.37,Normal Tissue,Brain,GTEX: Normal Tissue
273,GTEX-WI4N-1126-SM-3LK7Q,GTEX,10.4,Normal Tissue,Adipose,GTEX: Normal Tissue
274,GTEX-N7MT-1126-SM-2YUNQ,GTEX,9.941,Normal Tissue,Brain,GTEX: Normal Tissue
277,GTEX-147F4-1226-SM-5NQAY,GTEX,11.85,Normal Tissue,Heart,GTEX: Normal Tissue
279,GTEX-ZE7O-1526-SM-5J1NH,GTEX,9.922,Normal Tissue,Adipose,GTEX: Normal Tissue
283,GTEX-13OVL-2726-SM-5J2MP,GTEX,11.81,Normal Tissue,Esophagus,GTEX: Normal Tissue
285,GTEX-OIZH-0326-SM-2HMKC,GTEX,12.86,Normal Tissue,Heart,GTEX: Normal Tissue
286,GTEX-XYKS-2726-SM-4E3IC,GTEX,11.22,Normal Tissue,Adipose,GTEX: Normal Tissue
287,GTEX-P4QT-0008-SM-48TDZ,GTEX,11.38,Cell Line,Cells,GTEX: Cell Line
294,GTEX-13N2G-2226-SM-5IJCU,GTEX,11.8,Normal Tissue,Colon,GTEX: Normal Tissue
300,GTEX-13112-0011-R7b-SM-5DUVW,GTEX,9.998,Normal Tissue,Brain,GTEX: Normal Tissue
304,GTEX-13N11-0526-SM-5IJFI,GTEX,11.77,Normal Tissue,Ovary,GTEX: Normal Tissue
305,GTEX-ZEX8-0426-SM-4WWEN,GTEX,12.3,Normal Tissue,Heart,GTEX: Normal Tissue
306,GTEX-Q2AG-0011-R3A-SM-2HMJ9,GTEX,8.506,Normal Tissue,Brain,GTEX: Normal Tissue
307,GTEX-11DXW-1026-SM-5H11K,GTEX,8.836,Normal Tissue,Brain,GTEX: Normal Tissue
308,GTEX-13N2G-0011-R4b-SM-5MR54,GTEX,10.75,Normal Tissue,Brain,GTEX: Normal Tissue
311,GTEX-145LV-0226-SM-5S2QG,GTEX,12.96,Normal Tissue,Heart,GTEX: Normal Tissue
313,GTEX-13O1R-2326-SM-5IJF9,GTEX,8.56,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
315,GTEX-XXEK-1026-SM-4BRUW,GTEX,12.74,Normal Tissue,Small Intestine,GTEX: Normal Tissue
318,GTEX-X88G-0006-SM-47JX5,GTEX,8.143,Normal Tissue,Whole Blood,GTEX: Normal Tissue
319,GTEX-ZT9X-0008-SM-4YCD7,GTEX,11.53,Cell Line,Cells,GTEX: Cell Line
330,GTEX-1445S-0011-R7b-SM-5PNUG,GTEX,10.5,Normal Tissue,Brain,GTEX: Normal Tissue
333,GTEX-ZUA1-0011-R7b-SM-4YCDP,GTEX,9.857,Normal Tissue,Brain,GTEX: Normal Tissue
338,GTEX-1399U-1526-SM-5J2N7,GTEX,12.8,Normal Tissue,Vagina,GTEX: Normal Tissue
342,GTEX-13FH7-2126-SM-5L3DJ,GTEX,11.65,Normal Tissue,Muscle,GTEX: Normal Tissue
347,GTEX-11DXX-0008-SM-5Q5B8,GTEX,11.49,Cell Line,Cells,GTEX: Cell Line
348,GTEX-PX3G-1626-SM-2S1PT,GTEX,11.01,Normal Tissue,Muscle,GTEX: Normal Tissue
354,GTEX-UJMC-1326-SM-4IHLS,GTEX,13.42,Normal Tissue,Colon,GTEX: Normal Tissue
364,GTEX-XAJ8-1126-SM-47JYA,GTEX,12.98,Normal Tissue,Nerve,GTEX: Normal Tissue
366,GTEX-13O1R-0126-SM-5L3EH,GTEX,12.54,Normal Tissue,Skin,GTEX: Normal Tissue
368,GTEX-13NZ9-0826-SM-5J1NI,GTEX,11.34,Normal Tissue,Artery,GTEX: Normal Tissue
370,GTEX-13FLV-1226-SM-5IJBZ,GTEX,11.49,Normal Tissue,Esophagus,GTEX: Normal Tissue
372,GTEX-WHPG-0326-SM-4M1XV,GTEX,11.45,Normal Tissue,Pancreas,GTEX: Normal Tissue
374,GTEX-14DAQ-2526-SM-5RQIO,GTEX,11.64,Normal Tissue,Adipose,GTEX: Normal Tissue
375,GTEX-ZT9W-1426-SM-4YCD2,GTEX,11.49,Normal Tissue,Esophagus,GTEX: Normal Tissue
383,GTEX-139T4-0011-R9b-SM-5HL6S,GTEX,10.17,Normal Tissue,Brain,GTEX: Normal Tissue
384,GTEX-X261-0011-R10B-SM-4E3JT,GTEX,9.606,Normal Tissue,Brain,GTEX: Normal Tissue
389,GTEX-QV44-2226-SM-447A3,GTEX,12.84,Normal Tissue,Artery,GTEX: Normal Tissue
392,GTEX-ZF2S-1526-SM-5S2OO,GTEX,9.391,Normal Tissue,Adipose,GTEX: Normal Tissue
396,GTEX-WHSE-0426-SM-4M1XO,GTEX,11.1,Normal Tissue,Testis,GTEX: Normal Tissue
402,GTEX-Q734-1626-SM-48U1B,GTEX,12.0,Normal Tissue,Uterus,GTEX: Normal Tissue
404,GTEX-RN64-2326-SM-48FDW,GTEX,11.52,Normal Tissue,Testis,GTEX: Normal Tissue
405,GTEX-12696-1126-SM-5FQTI,GTEX,12.29,Normal Tissue,Heart,GTEX: Normal Tissue
406,GTEX-13O61-0126-SM-5KM4P,GTEX,8.71,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
407,GTEX-13OVL-0226-SM-5L3E9,GTEX,13.29,Normal Tissue,Skin,GTEX: Normal Tissue
408,GTEX-13PVR-2326-SM-5QGR1,GTEX,13.38,Normal Tissue,Skin,GTEX: Normal Tissue
413,GTEX-YF7O-2426-SM-5IFJL,GTEX,10.36,Normal Tissue,Adipose,GTEX: Normal Tissue
415,GTEX-13FH7-1226-SM-5IJFK,GTEX,12.51,Normal Tissue,Small Intestine,GTEX: Normal Tissue
416,GTEX-132AR-2726-SM-5PNVN,GTEX,13.63,Normal Tissue,Colon,GTEX: Normal Tissue
417,GTEX-ZXG5-0326-SM-5GICH,GTEX,11.0,Normal Tissue,Muscle,GTEX: Normal Tissue
419,GTEX-14E7W-0526-SM-5S2W8,GTEX,12.09,Normal Tissue,Artery,GTEX: Normal Tissue
420,GTEX-WXYG-0826-SM-4ONC7,GTEX,12.27,Normal Tissue,Pancreas,GTEX: Normal Tissue
422,GTEX-Q2AG-0005-SM-5SI7F,GTEX,10.53,Normal Tissue,Whole Blood,GTEX: Normal Tissue
425,GTEX-XMK1-2626-SM-4B65R,GTEX,13.12,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
429,GTEX-12WSL-2426-SM-5GCN7,GTEX,10.95,Normal Tissue,Adipose,GTEX: Normal Tissue
434,GTEX-NPJ7-0011-R11A-SM-2I3E8,GTEX,9.05,Normal Tissue,Brain,GTEX: Normal Tissue
435,GTEX-X585-0011-R5A-SM-46MVI,GTEX,8.547,Normal Tissue,Brain,GTEX: Normal Tissue
441,GTEX-POYW-1226-SM-5LU5O,GTEX,11.66,Normal Tissue,Lung,GTEX: Normal Tissue
443,GTEX-13OW6-0526-SM-5L3HY,GTEX,11.38,Normal Tissue,Adipose,GTEX: Normal Tissue
446,GTEX-13NYB-0011-R1b-SM-5KM4F,GTEX,9.439,Normal Tissue,Brain,GTEX: Normal Tissue
447,GTEX-13NYB-0011-R5a-SM-5MR45,GTEX,10.28,Normal Tissue,Brain,GTEX: Normal Tissue
450,GTEX-U8T8-0326-SM-3DB93,GTEX,12.16,Normal Tissue,Artery,GTEX: Normal Tissue
451,GTEX-Z93S-0005-SM-4RGLW,GTEX,11.04,Normal Tissue,Whole Blood,GTEX: Normal Tissue
458,GTEX-ZYFC-2626-SM-5NQ6S,GTEX,11.59,Normal Tissue,Colon,GTEX: Normal Tissue
461,GTEX-117YW-0526-SM-5H11C,GTEX,11.24,Normal Tissue,Lung,GTEX: Normal Tissue
463,GTEX-U4B1-1826-SM-4DXSU,GTEX,12.11,Normal Tissue,Skin,GTEX: Normal Tissue
467,GTEX-13FTY-2126-SM-5IFFB,GTEX,13.43,Normal Tissue,Skin,GTEX: Normal Tissue
478,GTEX-145MN-1526-SM-5SI9T,GTEX,13.55,Normal Tissue,Skin,GTEX: Normal Tissue
479,GTEX-T5JC-0626-SM-3NMA6,GTEX,10.35,Normal Tissue,Muscle,GTEX: Normal Tissue
482,GTEX-13N1W-0011-R11a-SM-5MR3D,GTEX,8.322,Normal Tissue,Brain,GTEX: Normal Tissue
486,GTEX-12ZZX-2126-SM-5LZVL,GTEX,11.92,Normal Tissue,Uterus,GTEX: Normal Tissue
489,GTEX-WFON-0126-SM-4LVM9,GTEX,10.02,Normal Tissue,Spleen,GTEX: Normal Tissue
490,GTEX-139TU-0526-SM-5J2M8,GTEX,11.32,Normal Tissue,Muscle,GTEX: Normal Tissue
495,GTEX-S3XE-1326-SM-4AD4H,GTEX,11.99,Normal Tissue,Prostate,GTEX: Normal Tissue
497,GTEX-RM2N-1426-SM-2TF4H,GTEX,13.65,Normal Tissue,Skin,GTEX: Normal Tissue
498,GTEX-13OVK-0006-SM-5O9B7,GTEX,6.691,Normal Tissue,Whole Blood,GTEX: Normal Tissue
502,GTEX-11NUK-2026-SM-5PNVZ,GTEX,11.37,Normal Tissue,Adipose,GTEX: Normal Tissue
503,GTEX-13RTJ-2826-SM-5QGQH,GTEX,12.96,Normal Tissue,Nerve,GTEX: Normal Tissue
504,GTEX-ZT9W-1626-SM-4YCDQ,GTEX,12.71,Normal Tissue,Prostate,GTEX: Normal Tissue
506,GTEX-WK11-0626-SM-3NMAV,GTEX,13.19,Normal Tissue,Heart,GTEX: Normal Tissue
508,GTEX-R55G-0726-SM-2TC6J,GTEX,12.24,Normal Tissue,Thyroid,GTEX: Normal Tissue
511,GTEX-11EQ9-1226-SM-5987E,GTEX,10.98,Normal Tissue,Stomach,GTEX: Normal Tissue
512,GTEX-13NYB-0226-SM-5N9G4,GTEX,10.95,Normal Tissue,Heart,GTEX: Normal Tissue
513,GTEX-11DXX-1826-SM-5H126,GTEX,13.29,Normal Tissue,Colon,GTEX: Normal Tissue
516,GTEX-REY6-0126-SM-48FDT,GTEX,11.24,Normal Tissue,Testis,GTEX: Normal Tissue
517,GTEX-ZAB4-0008-SM-4RGM6,GTEX,11.38,Cell Line,Cells,GTEX: Cell Line
520,GTEX-RWS6-0926-SM-47JXE,GTEX,12.7,Normal Tissue,Stomach,GTEX: Normal Tissue
522,GTEX-13111-0326-SM-5DUXF,GTEX,9.372,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
523,GTEX-OHPK-2626-SM-2HMK9,GTEX,13.01,Normal Tissue,Thyroid,GTEX: Normal Tissue
525,GTEX-11GSP-1326-SM-5A5KY,GTEX,11.73,Normal Tissue,Heart,GTEX: Normal Tissue
526,GTEX-OXRP-0126-SM-3NB32,GTEX,12.96,Normal Tissue,Skin,GTEX: Normal Tissue
527,GTEX-O5YT-1826-SM-32PK9,GTEX,11.97,Normal Tissue,Artery,GTEX: Normal Tissue
528,GTEX-XGQ4-1026-SM-4AT4L,GTEX,10.61,Normal Tissue,Adipose,GTEX: Normal Tissue
533,GTEX-ZVZQ-0326-SM-59HLL,GTEX,8.265,Normal Tissue,Skin,GTEX: Normal Tissue
534,GTEX-X4LF-0006-SM-3NMCO,GTEX,8.649,Normal Tissue,Whole Blood,GTEX: Normal Tissue
535,GTEX-YFC4-0008-SM-4RGM3,GTEX,11.47,Cell Line,Cells,GTEX: Cell Line
537,GTEX-1399U-0426-SM-5K7UU,GTEX,12.86,Normal Tissue,Artery,GTEX: Normal Tissue
539,GTEX-13VXU-0526-SM-5K7V1,GTEX,12.38,Normal Tissue,Artery,GTEX: Normal Tissue
540,GTEX-XGQ4-0004-SM-4AT5S,GTEX,9.471,Cell Line,Cells,GTEX: Cell Line
541,GTEX-NPJ8-0007-SM-2D7VX,GTEX,6.88,Normal Tissue,Whole Blood,GTEX: Normal Tissue
544,GTEX-1122O-0008-SM-5QGR2,GTEX,11.29,Cell Line,Cells,GTEX: Cell Line
545,GTEX-14BIM-2226-SM-5SI8Y,GTEX,11.34,Normal Tissue,Uterus,GTEX: Normal Tissue
546,GTEX-147GR-0526-SM-5S2MY,GTEX,13.25,Normal Tissue,Skin,GTEX: Normal Tissue
550,GTEX-Y8LW-1826-SM-5S2MV,GTEX,12.67,Normal Tissue,Skin,GTEX: Normal Tissue
551,GTEX-OXRL-0005-SM-3LK6A,GTEX,8.784,Normal Tissue,Whole Blood,GTEX: Normal Tissue
553,GTEX-11P82-0126-SM-5HL72,GTEX,12.74,Normal Tissue,Artery,GTEX: Normal Tissue
557,GTEX-VUSG-0626-SM-4KL1Z,GTEX,12.71,Normal Tissue,Artery,GTEX: Normal Tissue
560,GTEX-S33H-1126-SM-2XCB6,GTEX,10.11,Normal Tissue,Adipose,GTEX: Normal Tissue
561,GTEX-13PVQ-1726-SM-5IFF3,GTEX,13.18,Normal Tissue,Esophagus,GTEX: Normal Tissue
563,GTEX-11XUK-0126-SM-5CVLK,GTEX,9.521,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
564,GTEX-QCQG-1426-SM-48U22,GTEX,11.82,Normal Tissue,Ovary,GTEX: Normal Tissue
565,GTEX-ZDYS-2326-SM-4WKG6,GTEX,13.16,Normal Tissue,Colon,GTEX: Normal Tissue
568,GTEX-WFG8-2426-SM-3GILL,GTEX,9.264,Normal Tissue,Muscle,GTEX: Normal Tissue
569,GTEX-145LU-2026-SM-5Q5E8,GTEX,10.93,Normal Tissue,Muscle,GTEX: Normal Tissue
571,GTEX-13VXT-1726-SM-5IFF5,GTEX,13.66,Normal Tissue,Minor Salivary Gland,GTEX: Normal Tissue
572,GTEX-13O3O-1826-SM-5IFGW,GTEX,10.97,Normal Tissue,Liver,GTEX: Normal Tissue
573,GTEX-13N1W-0826-SM-5MR5J,GTEX,14.11,Normal Tissue,Thyroid,GTEX: Normal Tissue
574,GTEX-SIU7-1626-SM-4BRUK,GTEX,12.91,Normal Tissue,Breast,GTEX: Normal Tissue
576,GTEX-WY7C-0326-SM-4OND5,GTEX,9.114,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
577,GTEX-146FH-2026-SM-5SI9I,GTEX,10.98,Normal Tissue,Adipose,GTEX: Normal Tissue
579,GTEX-ZWKS-0326-SM-5NQ7G,GTEX,9.768,Normal Tissue,Muscle,GTEX: Normal Tissue
583,GTEX-12WSK-2626-SM-5GCOT,GTEX,12.93,Normal Tissue,Nerve,GTEX: Normal Tissue
587,GTEX-131XH-0011-R2b-SM-5DUVY,GTEX,9.608,Normal Tissue,Brain,GTEX: Normal Tissue
591,GTEX-X8HC-0126-SM-4E3JW,GTEX,13.57,Normal Tissue,Skin,GTEX: Normal Tissue
594,GTEX-11I78-1526-SM-5A5K7,GTEX,13.5,Normal Tissue,Esophagus,GTEX: Normal Tissue
